en,kor,cc
I'm older than your brother.,나는 네 형제보다 나이가 많다.,CC-BY 2.0 (France) Attribution: tatoeba.org #252798 (CK) & #11106884 (intertime)
Don't worry. Someone will come and rescue us eventually.,걱정하지 마. 결국 누군가 와서 우리를 구출할 거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #6572322 (Hybrid) & #11110670 (intertime)
How is this fair?,이게 어째서 공평해?,CC-BY 2.0 (France) Attribution: tatoeba.org #3731505 (CM) & #11107485 (intertime)
I think Tom is loyal.,난 톰이 의리있다고 생각한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3183885 (CK) & #3681006 (milimos)
I got injured doing that.,제가 그러다가 다쳤었어요.,CC-BY 2.0 (France) Attribution: tatoeba.org #6845025 (CK) & #6845323 (dalgarak)
We're coming back tomorrow.,우리는 내일 돌아올거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #3321176 (CK) & #8360540 (Eunhee)
Thanks for the warning.,경고 고마워.,CC-BY 2.0 (France) Attribution: tatoeba.org #2645999 (CK) & #5526774 (raining211)
I'm no longer afraid of spiders.,난 더 이상 거미가 두렵지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #5450805 (CK) & #8364928 (Eunhee)
Tom moves quickly.,톰은 빨리 움직이네.,CC-BY 2.0 (France) Attribution: tatoeba.org #3360621 (CK) & #8365812 (Eunhee)
The rebels took control of the capital.,반역자들이 수도를 점령했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #282759 (CK) & #11105156 (intertime)
Some people believe in God and others don't.,신을 믿는 사람들도 있고 아닌 사람도 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #269642 (CK) & #8361480 (Eunhee)
Tom said he needed some more time.,톰은 시간이 좀 더 필요하다고 말했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2641850 (CK) & #10576575 (ssuss32)
There was no point in arguing with Tom.,톰과 싸우는 건 무의미했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8046099 (Hybrid) & #8413839 (Eunhee)
I'd like to reserve a table for two.,두 명 자리를 예약하고 싶어요.,CC-BY 2.0 (France) Attribution: tatoeba.org #72808 (CK) & #7798232 (HappyMidnight)
Flour is made from wheat.,밀가루는 밀로 만든다.,CC-BY 2.0 (France) Attribution: tatoeba.org #267675 (CK) & #11597124 (cherryband)
I'm sorry that I cried.,울어서 미안해.,CC-BY 2.0 (France) Attribution: tatoeba.org #7113663 (CM) & #8366855 (Eunhee)
I returned home.,나는 집에 돌아왔다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7114368 (CM) & #11106495 (intertime)
Do you have something that you want to say to me?,나한테 하고 싶은 말 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #408891 (CM) & #11106266 (intertime)
They found this.,그들이 이것을 찾았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2243124 (CK) & #11106210 (intertime)
Keep searching.,계속 찾고 있어봐.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111639 (CK) & #8368329 (Eunhee)
Now I've had enough.,이제 충분히 했습니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3824937 (CK) & #6845336 (dalgarak)
I like studying languages.,언어를 공부하는 게 좋아요.,CC-BY 2.0 (France) Attribution: tatoeba.org #2784248 (CK) & #6305017 (Queserasera)
Stop babbling.,그만 떠들어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111504 (CK) & #8363459 (Eunhee)
Tom is looking for a way to make some money.,톰은 돈을 벌 방법을 찾고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7540963 (CK) & #8375051 (baehyunsol)
I had dinner with a total stranger.,생판 모르는 사람과 저녁을 먹었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3060628 (sharptoothed) & #6822010 (yesjustryan)
Tom said that book was interesting.,톰은 책이 흥미로웠다고 말했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6347252 (CK) & #11107561 (intertime)
My family goes to Australia every year.,우리 가족은 매년 오스트레일리아에 간다.,CC-BY 2.0 (France) Attribution: tatoeba.org #11104477 (CK) & #11104671 (intertime)
It happened prior to my arrival.,그 일은 내가 도착하기 전에 일어났어.,CC-BY 2.0 (France) Attribution: tatoeba.org #42403 (CK) & #9294439 (Eunhee)
I wasn't even here.,난 심지어 여기 없었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2548832 (CK) & #8368432 (Eunhee)
Did Tom look OK?,톰은 괜찮아 보였어?,CC-BY 2.0 (France) Attribution: tatoeba.org #3326670 (CK) & #8361701 (Eunhee)
Painting our house took much longer than we expected.,우리 집을 칠하는데 생각보다 시간이 오래 걸렸다.,CC-BY 2.0 (France) Attribution: tatoeba.org #9011920 (CK) & #10576569 (ssuss32)
This cake is sweet.,이 케이크는 달다.,CC-BY 2.0 (France) Attribution: tatoeba.org #61167 (CM) & #11105596 (intertime)
Tom was upset.,톰은 화가 났다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2239871 (CK) & #11105443 (intertime)
I like this job.,나는 이 일이 좋다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2377488 (CK) & #11106780 (intertime)
I wish you happiness.,행복을 빈다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2044465 (CK) & #11106809 (intertime)
We should hold some food in reserve.,음식을 좀 남겨 놓아야 해요.,CC-BY 2.0 (France) Attribution: tatoeba.org #262782 (CM) & #7798234 (HappyMidnight)
Tom didn't know Mary was going to be late.,톰은 메리가 늦을 줄 몰랐다,CC-BY 2.0 (France) Attribution: tatoeba.org #7513646 (CK) & #9803424 (ST_Young)
I think I'm a good surgeon.,나는 괜찮은 외과의사인 것 같아.,CC-BY 2.0 (France) Attribution: tatoeba.org #5916075 (CK) & #8361798 (Eunhee)
How interesting!,이렇게나 흥미롭다니!,CC-BY 2.0 (France) Attribution: tatoeba.org #1898371 (CK) & #8363363 (Eunhee)
"When the bus swerved to miss a cat, the driver said, ""That was close.""","고양이를 비켜가기 위해 버스가 방향을 틀었을 때, 운전기사는 ""큰일날 뻔했네""라고 말했다.",CC-BY 2.0 (France) Attribution: tatoeba.org #917236 (CK) & #11106630 (intertime)
Show yourself.,너의 모습을 드러내.,CC-BY 2.0 (France) Attribution: tatoeba.org #1849365 (CK) & #8368248 (Eunhee)
No one can foretell the future.,아무도 미래를 예언할 수 없다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2346016 (Hybrid) & #11106085 (intertime)
Tom barged through the front door.,톰은 현관문을 밀치며 나아갔다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2540412 (CK) & #8543955 (okja)
The meeting was cancelled.,회의가 취소되었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3272363 (CM) & #11105216 (intertime)
Fight like a man!,남자답게 싸우자!,CC-BY 2.0 (France) Attribution: tatoeba.org #1107857 (Scott) & #11106481 (intertime)
Everyone said that I was wrong.,모두들 내가 틀렸대.,CC-BY 2.0 (France) Attribution: tatoeba.org #276544 (CK) & #3680976 (Eunhee)
My bag is empty.,내 가방은 비어 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #689919 (ulyssemc1) & #11105906 (intertime)
He was hard up.,그는 돈에 쪼들리고 있었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #289457 (Dejo) & #6304235 (Queserasera)
Listen to your father.,아버지 말 좀 들어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3001281 (Hybrid) & #11106258 (intertime)
I have a sister.,나에게는 누나가 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1447094 (CM) & #11106025 (intertime)
The house is empty.,집이 비어 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3426308 (CK) & #11106684 (intertime)
Tom hasn't decided yet.,톰은 아직 결정하지 못했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2645878 (CK) & #5526082 (raining211)
Something happened.,무언가 일어났어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1446444 (CK) & #8368198 (Eunhee)
Tom is addicted to junk food.,톰은 패스트푸드 중독자야.,CC-BY 2.0 (France) Attribution: tatoeba.org #5817754 (CK) & #8361818 (Eunhee)
That's all we wanted.,그게 우리가 원했던 것의 전부야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8511124 (CK) & #8533762 (Eunhee)
He swims better than I do.,그는 나보다 수영을 잘 한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #387429 (CK) & #11106197 (intertime)
I'm almost ready.,나는 거의 준비되었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2247910 (CK) & #11106759 (intertime)
I am very concerned about his health.,난 그 사람의 건강이 너무 걱정돼.,CC-BY 2.0 (France) Attribution: tatoeba.org #260590 (CK) & #8361501 (Eunhee)
It's nearly dark.,거의 어두워지고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2249101 (CK) & #8365099 (Eunhee)
Tom doesn't like to lose.,톰은 지기 싫어한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3123351 (CK) & #11106276 (intertime)
Someone has died.,누군가 죽었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2249972 (CK) & #8361927 (Eunhee)
It looks good.,좋아 보이네요.,CC-BY 2.0 (France) Attribution: tatoeba.org #1808249 (Spamster) & #11104864 (intertime)
Tom said goodbye and left.,톰은 작별인사를 하고 떠나버렸어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8530115 (CK) & #8533689 (Eunhee)
Tom has a cat.,톰은 고양이를 키우고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #5190887 (CK) & #8364986 (Eunhee)
Why are you so sure of his success?,왜 그의 성공을 그렇게 확신하고 있는 거지?,CC-BY 2.0 (France) Attribution: tatoeba.org #36355 (CK) & #1587306 (JanAson)
The book's white.,책이 하얗다.,CC-BY 2.0 (France) Attribution: tatoeba.org #954997 (CM) & #11106729 (intertime)
He loves animals.,그는 동물을 사랑한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #302036 (CK) & #11104819 (intertime)
Of course!,물론이지!,CC-BY 2.0 (France) Attribution: tatoeba.org #433730 (CK) & #8363313 (Eunhee)
I think Tom is great.,나는 톰이 뛰어나다고 생각한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2276314 (CK) & #9803449 (ST_Young)
Do you like women?,당신은 여자를 좋아합니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #3818496 (CK) & #11105381 (intertime)
Tom is very happy here.,톰은 여기 있어서 아주 행복해하네.,CC-BY 2.0 (France) Attribution: tatoeba.org #6532019 (CK) & #8358081 (Eunhee)
Tom inhaled.,톰이 숨을 들이마셨어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111164 (CK) & #8363436 (Eunhee)
Watch your language.,입조심해라.,CC-BY 2.0 (France) Attribution: tatoeba.org #239756 (CM) & #6305011 (Queserasera)
Tom is lonely because he has no one to play with.,톰은 같이 놀 사람이 없어서 외로워하고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #5250685 (CK) & #8384630 (Eunhee)
I like languages.,언어가 좋습니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #239730 (CK) & #6305009 (Queserasera)
Tom kicked the ball really hard.,톰은 정말 세게 공을 찼다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1093357 (CK) & #4952649 (rainbow4us)
I took a shower.,나는 샤워를 했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3126551 (lavenir) & #11106221 (intertime)
She loves singing.,그녀는 노래하기를 좋아한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #500283 (CK) & #6304978 (Queserasera)
Do you really think Tom will let you help him?,너 정말 톰이 너한테 도움받도록 내버려 둘 것 같아?,CC-BY 2.0 (France) Attribution: tatoeba.org #5849015 (CK) & #8361498 (Eunhee)
No one was at home.,집에 아무도 없었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4495021 (CK) & #11105510 (intertime)
I'm going to move next month.,나는 다음 달에 이동할 것이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4391132 (CK) & #11105973 (intertime)
What do you think this sentence means?,이 문장이 무슨 뜻인 것 같아?,CC-BY 2.0 (France) Attribution: tatoeba.org #4197704 (Tigrin) & #4765113 (kimhkng)
Forgive us.,우리를 용서해 줘.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111834 (CK) & #8368353 (Eunhee)
Company regulations mandate that workers use protective eyewear.,회사 내규에 의하면 근로자가 보호 안경을 사용하도록 되어 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7567952 (Hybrid) & #8472731 (Eunhee)
That's all I'm doing.,그게 내가 하고 있는 전부야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8511104 (CK) & #8533764 (Eunhee)
I thought you hated me.,네가 날 싫어한다고 생각했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2162647 (Hybrid) & #8363539 (Eunhee)
This isn't a very good brandy.,썩 좋은 브랜디는 아니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7965153 (CK) & #7965158 (EstasKorea)
Whose dictionary is this?,이건 누구 사전입니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #55516 (CK) & #7342919 (yesjustryan)
Tom and Mary live in a very small apartment.,톰과 메리는 매우 작은 아파트에 살고 있어요.,CC-BY 2.0 (France) Attribution: tatoeba.org #3387030 (Hybrid) & #4963566 (rainbow4us)
Every country has its own history.,어떤 나라든 역사가 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #37520 (CK) & #6304263 (Queserasera)
I envy you.,네가 부러워.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245734 (CK) & #8365116 (Eunhee)
Tom died in his kitchen.,톰은 자택 부엌에서 죽었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8340868 (CK) & #8361507 (Eunhee)
Tom said that he didn't think the heat bothered Mary.,톰은 더위가 메리를 괴롭힌다고 생각하지 않았다고 말했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6650092 (CK) & #9803445 (ST_Young)
It was a rhetorical question.,이건 수사적인 질문이었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3142805 (CK) & #8362114 (Eunhee)
Look straight ahead.,정면을 보세요.,CC-BY 2.0 (France) Attribution: tatoeba.org #32535 (CK) & #11597210 (cherryband)
I have no time.,난 시간이 없다.,CC-BY 2.0 (France) Attribution: tatoeba.org #249910 (CK) & #3681023 (intertime)
Tom loves to study music.,톰은 음악 공부하는 걸 좋아해.,CC-BY 2.0 (France) Attribution: tatoeba.org #2060136 (ihdh) & #8363878 (Eunhee)
Tom learned French in school.,톰은 학교에서 프랑스어를 배웠다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2835695 (CK) & #8394163 (Eunhee)
A lot of snow fell last year.,작년에 눈이 엄청 내렸어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6403788 (alishalikescats) & #4748098 (kimhkng)
Breathe in.,숨 들이쉬세요.,CC-BY 2.0 (France) Attribution: tatoeba.org #6092714 (mailohilohi) & #11106876 (intertime)
I don't think this is a fake.,이게 가짜같진 않은데.,CC-BY 2.0 (France) Attribution: tatoeba.org #8305508 (CK) & #8367194 (Eunhee)
We might need to help Tom.,우리가 톰을 도울 필요가 있을 수도 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1893778 (CK) & #5526080 (raining211)
Tom used to be a policeman.,톰은 한때 경찰이었었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6531380 (CK) & #8364892 (Eunhee)
There is a television in my room.,내 방에 텔레비전이 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #251759 (CK) & #11105767 (intertime)
Money talks.,돈이 최고야.,CC-BY 2.0 (France) Attribution: tatoeba.org #18631 (CK) & #8363275 (Eunhee)
I think French is the most beautiful language.,프랑스어는 가장 아름다운 언어인 것 같아.,CC-BY 2.0 (France) Attribution: tatoeba.org #8410318 (CK) & #8410321 (Eunhee)
Tom was wearing a ridiculous hat.,톰은 멍청한 모자를 쓰고 있었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6568993 (Hybrid) & #8398439 (Eunhee)
We need to review the case.,우리는 그 사건을 검토할 필요가 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #262772 (CK) & #5526661 (raining211)
Start over.,다시 해.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111522 (CK) & #8363465 (Eunhee)
We can't give up.,우린 포기할 수 없어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1654037 (Spamster) & #4948592 (rainbow4us)
Tom has talent.,톰은 재능이 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4397536 (CK) & #11106737 (intertime)
No one speaks this language anymore.,아무도 이 언어를 더 이상 쓰지 않는다.,CC-BY 2.0 (France) Attribution: tatoeba.org #30338 (lilygilder) & #11105469 (intertime)
I have a sister.,나에게는 언니가 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1447094 (CM) & #11106024 (intertime)
I think we should do something stupid.,우리 좀 바보짓을 해야할 것 같아.,CC-BY 2.0 (France) Attribution: tatoeba.org #1444225 (CM) & #8360561 (Eunhee)
"I'm sorry, but I don't know what to do.","죄송하지만, 무엇을 해야 할 지 모르겠어요.",CC-BY 2.0 (France) Attribution: tatoeba.org #2538906 (CK) & #11104824 (intertime)
A cat is not human.,고양이는 인간이 아니야.,CC-BY 2.0 (France) Attribution: tatoeba.org #515178 (Swift) & #8361847 (Eunhee)
Tom sleeps all the time.,톰은 맨날 잠만 자.,CC-BY 2.0 (France) Attribution: tatoeba.org #5024666 (CK) & #8358623 (Eunhee)
I'll buy that.,제가 살게요.,CC-BY 2.0 (France) Attribution: tatoeba.org #2247686 (CK) & #11106082 (intertime)
This happened prior to receiving your letter.,그건 네 편지를 받기 전에 일어났어.,CC-BY 2.0 (France) Attribution: tatoeba.org #17072 (Zifre) & #9294444 (Eunhee)
We had a good time yesterday.,우리는 어제 즐겁게 지냈다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7476875 (CK) & #8549592 (okja)
Tom is building a wall.,톰은 벽을 세우고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1662824 (Amastan) & #11105821 (intertime)
Tom put on his helmet and then got on his motorcycle.,톰은 헬멧을 쓰고 오토바이에 올라탔다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2537365 (CK) & #11106704 (intertime)
I'm very sorry.,정말 미안해.,CC-BY 2.0 (France) Attribution: tatoeba.org #275979 (CK) & #4708225 (rainbow4us)
Anyone hurt?,누군가 다쳤어?,CC-BY 2.0 (France) Attribution: tatoeba.org #2092559 (CK) & #8368263 (Eunhee)
I'm apparently too old.,내가 너무 늙었나 봐.,CC-BY 2.0 (France) Attribution: tatoeba.org #7795573 (shekitten) & #8491004 (Eunhee)
She almost froze to death in the snow.,그녀는 눈 속에서 얼어 죽을 뻔했어요,CC-BY 2.0 (France) Attribution: tatoeba.org #453915 (saasmath) & #10618451 (andotang129)
Studying when you're sleepy is a waste of time.,졸릴 때 공부하는 건 시간 낭비야.,CC-BY 2.0 (France) Attribution: tatoeba.org #4575076 (CK) & #8395799 (Eunhee)
I should've told you about that sooner.,너한테 더 일찍 말했어야 했는데.,CC-BY 2.0 (France) Attribution: tatoeba.org #6244728 (CK) & #8365194 (Eunhee)
We had fun with Tom.,우리는 톰과 즐거운 시간을 가졌다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6845055 (CK) & #6845295 (dalgarak)
Tom is making a movie.,톰은 영화를 만들고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6532140 (CK) & #8362137 (Eunhee)
Tom wasn't able to sleep on the bus.,톰은 버스에서 잠을 잘 수가 없었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4077315 (CK) & #11106685 (intertime)
This film is based on a novel.,이 영화는 소설을 원작으로 삼았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #924077 (Shiawase) & #11107523 (intertime)
We surrendered.,우린 항복했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2107670 (CK) & #8363416 (Eunhee)
How do you feel?,너는 어떤 기분이니?,CC-BY 2.0 (France) Attribution: tatoeba.org #25724 (CK) & #8370326 (baehyunsol)
Tom is bigger than all the other boys in his class.,톰은 반에 있는 남자애들 중에서 가장 커.,CC-BY 2.0 (France) Attribution: tatoeba.org #6234528 (CK) & #8361447 (Eunhee)
Do you want this?,이걸 원해?,CC-BY 2.0 (France) Attribution: tatoeba.org #2011332 (CK) & #11105845 (intertime)
I actually play the piano pretty well.,난 사실 피아노를 꽤 잘 쳐.,CC-BY 2.0 (France) Attribution: tatoeba.org #8290714 (CK) & #8365261 (Eunhee)
Linux is open source software.,리눅스는 오픈 소스 소프트웨어야.,CC-BY 2.0 (France) Attribution: tatoeba.org #6011115 (mailohilohi) & #8365229 (Eunhee)
Who painted these pictures?,누가 이 그림을 그렸어?,CC-BY 2.0 (France) Attribution: tatoeba.org #40450 (CK) & #11106409 (intertime)
There aren't any.,없다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2252614 (CK) & #3781096 (Queserasera)
Do you like cooking?,요리 좋아해요?,CC-BY 2.0 (France) Attribution: tatoeba.org #953202 (CK) & #5383155 (rainbow4us)
Stay positive.,긍정적으로 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2100038 (Hybrid) & #8363408 (Eunhee)
She said that she was ill.,그녀는 아팠다고 말했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #316673 (CM) & #11105503 (intertime)
Read the book aloud.,큰 소리로 책을 읽어라.,CC-BY 2.0 (France) Attribution: tatoeba.org #271934 (CK) & #11105658 (intertime)
That wasn't the case.,사실은 그렇지 않았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #8336384 (CK) & #8548135 (okja)
I like watermelon.,난 수박 좋아해.,CC-BY 2.0 (France) Attribution: tatoeba.org #1575786 (human600) & #8386258 (Eunhee)
Nothing could sway his conviction.,그 어떤 것도 그의 신념을 꺾을 수 없었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #286792 (CM) & #7342954 (yesjustryan)
Turn left.,좌회전해.,CC-BY 2.0 (France) Attribution: tatoeba.org #464284 (lukaszpp) & #8368157 (Eunhee)
Have you met any Canadians here in Boston?,여기 보스턴에서 캐나다 사람을 만난 적이 있나요?,CC-BY 2.0 (France) Attribution: tatoeba.org #6770038 (CK) & #6845312 (dalgarak)
How embarrassing!,이렇게 창피할 수가!,CC-BY 2.0 (France) Attribution: tatoeba.org #277273 (CK) & #8363293 (Eunhee)
Science fiction has undoubtedly been the inspiration for many of the technologies that exist today.,공상 과학은 의심의 여지 없이 오늘날 존재하는 많은 기술에 영감을 주었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6067784 (mailohilohi) & #8363688 (Eunhee)
It's just not that easy.,그것이 그렇게 쉽지는 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #2953128 (CK) & #7815663 (HappyMidnight)
I like the taste of watermelon.,나는 수박맛이 좋다.,CC-BY 2.0 (France) Attribution: tatoeba.org #712124 (Ronaldonl) & #11104911 (intertime)
Seriously?,진심이야?,CC-BY 2.0 (France) Attribution: tatoeba.org #1327057 (bmaynard87) & #5548651 (YUJIHEE)
She fell down the ladder.,그녀는 사다리에서 넘어졌다.,CC-BY 2.0 (France) Attribution: tatoeba.org #310894 (CM) & #11106675 (intertime)
Tom lacks social skills.,톰은 사회성이 부족해.,CC-BY 2.0 (France) Attribution: tatoeba.org #7023221 (Hybrid) & #8363235 (Eunhee)
He stayed here for a while.,그는 여기 잠시 동안 머물러 있었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #290110 (CK) & #11105215 (intertime)
Do you like tofu?,두부를 좋아하시나요?,CC-BY 2.0 (France) Attribution: tatoeba.org #2807659 (Hybrid) & #11105703 (intertime)
Tom is fantastic.,톰은 환상적이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #2202844 (CK) & #8362074 (Eunhee)
Keep singing.,계속 노래하고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111638 (CK) & #8368325 (Eunhee)
My cat is black.,내 고양이는 검은색 고양이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #7844818 (Ricardo14) & #8364960 (Eunhee)
This room is too dark.,이 방은 너무 어두워.,CC-BY 2.0 (France) Attribution: tatoeba.org #680631 (Source_VOA) & #8365100 (Eunhee)
She designed beautiful costumes for the movie.,그녀는 영화에 쓸 아름다운 의상을 디자인했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #311153 (CK) & #11106633 (intertime)
I made reservations.,예약해 뒀어요.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245976 (CK) & #4950457 (rainbow4us)
